"TIME","GEO","UNIT","SEX","AGE","ICD10","Value","Flag and Footnotes"
"2002","Cyprus","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","2 416",""
"2002","Latvia","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","32 498",""
"2002","Latvia","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","16 390",""
"2002","Latvia","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","16 108",""
"2002","Lithuania","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","41 072",""
"2002","Lithuania","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","21 816",""
"2002","Lithuania","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","19 256",""
"2002","Luxembourg","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","3 603",""
"2002","Luxembourg","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","1 780",""
"2002","Luxembourg","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","1 823",""
"2002","Hungary","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","132 833",""
"2002","Hungary","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","68 837",""
"2002","Hungary","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","63 996",""
"2002","Malta","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","3 031",""
"2002","Malta","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","1 604",""
"2002","Malta","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","1 427",""
"2002","Netherlands","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","142 355",""
"2002","Netherlands","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","68 998",""
"2002","Netherlands","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","73 357",""
"2002","Austria","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","76 131",""
"2002","Austria","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","35 166",""
"2002","Austria","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","40 965",""
"2002","Poland","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","359 486",""
"2002","Poland","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","191 655",""
"2002","Poland","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","167 831",""
"2002","Portugal","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","106 690",""
"2002","Portugal","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","55 687",""
"2002","Portugal","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","51 003",""
"2002","Romania","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","269 666",""
"2002","Romania","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","144 480",""
"2002","Romania","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","125 186",""
"2002","Slovenia","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","18 701",""
"2002","Slovenia","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","9 696",""
"2002","Slovenia","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","9 005",""
"2002","Slovakia","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","51 532",""
"2002","Slovakia","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","27 415",""
"2002","Slovakia","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","24 117",""
"2002","Finland","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","49 389",""
"2002","Finland","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","23 985",""
"2002","Finland","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","25 404",""
"2002","Sweden","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","95 071",""
"2002","Sweden","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","45 813",""
"2002","Sweden","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","49 258",""
"2002","Iceland","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","1 822",""
"2002","Iceland","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","936",""
"2002","Iceland","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","886",""
"2002","Norway","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","44 401",""
"2002","Norway","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","21 617",""
"2002","Norway","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","22 784",""
"2002","Switzerland","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","61 768",""
"2002","Switzerland","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","29 727",""
"2002","Switzerland","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","32 041",""
"2002","United Kingdom","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","608 045",""
"2002","United Kingdom","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","289 081",""
"2002","United Kingdom","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","318 964",""
"2002","North Macedonia","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","17 962",""
"2002","North Macedonia","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","9 891",""
"2002","North Macedonia","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","8 071",""
"2002","Albania","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","16 248",""
"2002","Albania","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","9 123",""
"2002","Albania","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","7 125",""
"2003","European Union - 27 countries (from 2020)","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","4 377 747",""
"2003","European Union - 27 countries (from 2020)","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","2 190 652",""
"2003","European Union - 27 countries (from 2020)","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","2 187 095",""
"2003","European Union - 28 countries (2013-2020)","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","4 989 832",""
"2003","European Union - 28 countries (2013-2020)","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","2 479 837",""
"2003","European Union - 28 countries (2013-2020)","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","2 509 995",""
"2003","Belgium","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","106 209",""
"2003","Belgium","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","52 083",""
"2003","Belgium","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","54 126",""
"2003","Bulgaria","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","111 927",""
"2003","Bulgaria","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","59 992",""
"2003","Bulgaria","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","51 935",""
"2003","Czechia","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","111 288",""
"2003","Czechia","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","55 880",""
"2003","Czechia","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","55 408",""
"2003","Denmark","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","57 378",""
"2003","Denmark","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","28 009",""
"2003","Denmark","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","29 369",""
"2003","Germany (until 1990 former territory of the FRG)","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","853 946",""
"2003","Germany (until 1990 former territory of the FRG)","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","396 270",""
"2003","Germany (until 1990 former territory of the FRG)","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","457 676",""
"2003","Estonia","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","18 152",""
"2003","Estonia","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","9 192",""
"2003","Estonia","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","8 960",""
"2003","Ireland","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","29 074",""
"2003","Ireland","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","14 882",""
"2003","Ireland","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","14 192",""
"2003","Greece","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","105 529",""
"2003","Greece","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","54 942",""
"2003","Greece","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","50 587",""
"2003","Spain","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","384 828",""
"2003","Spain","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","199 897",""
"2003","Spain","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","184 931",""
"2003","France","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","562 587",""
"2003","France","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","284 729",""
"2003","France","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","277 858",""
"2003","France (metropolitan)","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","552 335",""
"2003","France (metropolitan)","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","279 020",""
"2003","France (metropolitan)","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","273 315",""
"2003","Croatia","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","52 575",""
